startX	startY	endX	endY	Text
245	634	397	672	塑管绿区工
1149	634	1323	704	华圳上
4589	628	4693	661	54-56线
2744	650	2809	688	电话：
2820	650	2983	682	02074376029
125	661	414	748	1
131	664	343	711	好兴协保公野业
4589	666	4709	699	参所电区：
4720	666	4883	699	02072873361
490	667	1333	846	
4878	666	5030	699	02072876117
54	737	403	780	上建：电市业装鞋
501	742	680	818	经菜”
114	796	256	840	迎米体区
3615	812	4017	932	免费健康
561	823	680	878	烟
708	823	1029	901	DESESA
2515	823	2722	959	诚聘
1094	829	1334	905	中甜到手
2733	829	3179	953	康泰中医商公司
4464	823	5095	937	康泰网装免费惠家
0	883	185	1013	D
207	888	484	1018	%0t
3168	888	3299	937	Cyerwel
3560	926	4061	1040	福座奥美衫
4360	937	4453	970	venvell
4529	937	4703	1002	咨韵热毯
4703	937	4785	991	020
4785	937	4894	991	7240
741	947	958	995	当照
4899	942	5003	997	1300
0	989	468	1054	
751	986	909	1024	湖中
980	1002	1241	1078	wT
1682	1002	1927	1094	标城区
2477	1002	2858	1051	度表压乘排“次人为本
2564	997	3283	1089	
506	1013	838	1094	n
1198	1008	1236	1040	2
800	1024	844	1056	
2478	1033	3274	1176	海
4393	1024	5046	1127	每图日免费健康雕检
3213	1286	4168	1558	CLOSED
4237	1313	4740	1558	FOR
90	1356	2626	1759	本店内部电路维修
3017	1719	4899	2000	RENOVATIONS
694	1814	2057	2186	暂停营业
229	1869	670	2123	
2940	2161	3789	2405	SORRY
3860	2172	4344	2400	FOR
4412	2173	4930	2412	ANY
40	2248	2617	2627	不便之处敬请原读
2940	2589	4926	2845	INCONENIENT
3582	3001	3626	3017	中市
3631	3001	3669	3022	迎光
1927	3017	1987	3077	团
3372	3012	3557	3030	请九共令人场爱
653	3022	751	3754	助于解决肥胖再题
757	3033	849	3868	明消耗量所需通或量
958	3039	991	3228	晚上要出去的
996	3039	1034	3169	定宿醉日
1040	3039	1078	3180	周答游。
1078	3039	1121	3223	代通常合在周
1165	3039	1203	3223	吸引人才的雨
3495	3030	3723	3080	开多低收人家庭没
2118	3066	2150	3180	豫藏患者
2738	3066	2814	3104	12月
2858	3066	2929	3098	比例。
2657	3071	2744	3104	极道，
2426	3073	2653	3108	擦《金触时轻》
3311	3065	3488	3076	收人密切相周。
2156	3077	2188	3180	菇素封
3108	3077	3228	3120	最富有的
3234	3077	3283	3104	1096
2911	3095	3104	3125	财富分配不均，
3311	3103	3509	3112	有存款可以依靠。
3462	3104	3723	3160	贷款和持服等金融财
2199	3120	2226	3180	期座
2372	3120	2804	3146	技示
3043	3131	3157	3163	的财富，
3164	3123	3286	3145	而最黄室
2983	3136	3043	3169	45%
2856	3142	2985	3172	家庭摊有
3360	3133	3460	3161	在储酱、
1905	3158	2003	3987	成干青一代在爆新函潮
2746	3154	2824	3180	10年
3136	3158	3223	3196	的财富。
2372	3164	2750	3187	
3413	3159	3724	3196	不平等级月成一一最计
3092	3174	3141	3201	9%6
2856	3179	3094	3207	的一半家庭抵捷有
3310	3174	3408	3212	富方面，
1002	3190	1034	3228	四
1040	3185	1072	3223	福
2553	3190	2798	3228	但收人却停温不前，
2379	3201	2542	3239	事迅速增長，
3124	3208	3282	3216	在通去10年
3308	3204	3725	3239	一
2199	3218	2232	3255	限
2118	3223	2150	3337	你的束西
2156	3223	2188	3266	洋
2916	3217	3120	3248	核基金合指出，
2437	3242	2821	3265	
3413	3239	3724	3277	有的家建可能有
2379	3250	2433	3277	10%
1170	3261	1203	3310	紫
2199	3261	2232	3320	桃
2914	3261	3276	3268	客检有资
3239	3261	3272	3293	优
3304	3255	3408	3288	净债務，
953	3266	991	3369	户會额，
996	3266	1034	3716	了重的
1083	3266	1116	3326	睡衣
2863	3266	2907	3299	吸，
2156	3277	2194	3521	然货一個明友东了
2379	3288	2455	3320	增長。
3302	3286	3589	3315	位收百的资。
2860	3305	3232	3313	
2629	3315	2662	3353	计
2662	3315	2700	3348	局
2700	3315	2793	3348	(Office
2787	3315	2825	3342	for
2477	3320	2553	3358	國國
2553	3320	2586	3358	家
2591	3320	2635	3353	统
3359	3315	3724	3358	工术网安
1040	3326	1078	3532	克莱丽袖充能：
2439	3326	2477	3358	英
2199	3331	2232	3662	西出
3097	3325	3195	3344	英英锈。
1127	3337	1160	3564	他何依然在工作
1083	3348	1116	3591	坐在家离的沙發上
2863	3348	2912	3380	190
2910	3343	3111	3369	萬英纺增至250
2118	3353	2150	3645	把一整理得更好
2591	3353	2809	3391	级布的败城现示，
3479	3358	3587	3396	曾表示，
3391	3364	3479	3396	Corbyn）
3593	3358	3724	3402	英國贫富
2379	3369	2477	3396	National
2237	3375	2254	3656	案人作
2477	3369	2597	3396	Statistics）
953	3380	991	3683	那我得好好想想了
3299	3375	3386	3407	Ceremy
2919	3386	3271	3374	家的
3291	3401	3449	3436	差距之大是
2481	3402	2827	3427	年的换
3468	3396	3642	3434	经济病您的
2384	3407	2417	3440	在
2417	3407	2482	3440	2008
3653	3407	3724	3440	個迹
2760	3423	2825	3467	但白
3152	3418	3266	3456	年以来的
2860	3430	3113	3442	道些地照的顺养异
2443	3444	2755	3471	的。
174	3450	207	3494	3
2384	3450	2422	3483	表、
3044	3446	3157	3458	2006-08
3299	3450	3337	3483	家
2922	3468	3021	3487	在偷收，
3348	3468	3724	3522	的
2563	3478	2815	3509	资愿时富稳步增長，
2450	3488	2553	3521	年以来，
2979	3483	3265	3488	钢音通家建的地时面
2379	3494	2450	3521	2012
3125	3494	3244	3532	400英锅，
212	3510	250	3553	
2765	3515	2831	3548	年期
2860	3510	2974	3534	10年真，
3007	3519	3123	3543	连到356，
2624	3521	2695	3553	2016
2700	3521	2765	3553	2018
3293	3521	3370	3559	步伐。
3381	3515	3528	3553	通去50年，
2559	3526	2624	3553	年至
3538	3521	3647	3553	财座税、
2384	3532	2422	3564	在
2416	3532	2560	3559	2014-2016
3658	3526	3724	3559	进产
1040	3542	1078	3716	“如果员工因
2156	3542	2194	3667	煎你整理
2864	3549	3010	3564	增展了78%6
2673	3559	2814	3597	萬值英锅。
3288	3553	3724	3597	人
2575	3564	2608	3597	至
2493	3570	2559	3602	13%，
2382	3573	2490	3602	周增長
2613	3564	2667	3597	14.6
2857	3575	3265	3564	司
1127	3591	1160	3710	抵是穿着
2536	3604	2832	3633	平均每收人现在才病
3391	3597	3658	3635	的比例规子设有曼化
2390	3608	2526	3645	相比之下，
3105	3611	3259	3645	捷有自有住
245	3613	278	3645	福
2858	3613	2951	3651	的增长。
3293	3608	3391	3640	位（p）
1083	3635	1116	3710	她说。
3354	3631	3723	3680	本的
2390	3651	2613	3689	近危楼前的峰值。
2902	3643	3101	3656	在英格刷東北部
2843	3683	3247	3683	合
3293	3683	3337	3721	税，
3348	3678	3724	3716	公
2530	3691	2696	3720	解决基金合”
2450	3694	2515	3727	智座
2697	3689	2829	3706	Resolution
2915	3710	3258	3726	诚地服开证农庭的电食下中
1824	3716	1856	3900	但到日前局止
1698	3721	1737	3965	的其中一個助惯是
1780	3721	1818	3911	项宣贵的播利。
3435	3713	3702	3760	以此交解决边侧网题。
1617	3727	1655	3916	谁行娱樂活勤。
1660	3727	1693	4155	客
2847	3727	2912	3759	同期。
1453	3732	1492	4155	的技
1497	3732	1530	4128	
1535	3732	1568	4155	
2537	3732	2613	3770	表示，
2620	3733	2824	3744	道意味着家庭目
3291	3727	3425	3756	执有微份，
1410	3738	1448	3862	酒精有間
1290	3743	1323	3992	精做料路免费提供。
1328	3743	1366	4133	
2390	3743	2531	3770	Foundatior）
3048	3738	3146	3775	萬英饼。
1121	3748	1160	3862	消檬的。
1209	3748	1241	3954	可以無限制哦冒
1247	3748	1279	4008	而39%的商家表示
2945	3748	2983	3781	至
953	3754	985	3998	提聚力有精桥影警
991	3754	1029	4155	
1034	3754	1072	3889	工作周题。
1078	3754	1116	4025	源经理中有4人表示
2978	3748	3048	3781	17.29
2842	3765	2874	3792	T
2874	3759	2934	3792	1296，
430	3770	474	3916	助马基磷白
474	3770	517	3905	奥不使用
169	3775	212	3932	暴食引起的
256	3775	299	3954	并且通常根本
566	3770	599	3905	没有明题
5	3781	44	3927	四注卡路惠
44	3781	82	3949	言人弗菌基。
131	3781	169	3960	门所有人都吃
305	3781	343	3943	我们吃的大
392	3781	430	3878	卡路裹。
1742	3781	1775	3965	封克莱丽水脱
1579	3786	1617	4155	英面特许人事奥费限
2392	3781	2819	3789	
1372	3797	1404	4106	随着里派季的到
1165	3808	1198	4052	影警可以是精的
2510	3819	2559	3851	是
2395	3824	2499	3857	倍以上，
2564	3820	2816	3811	個多世纪以来的量高
212	3835	256	3932	戴利说
523	3830	561	3905	深人衣
93	3840	125	3938	注册管
348	3840	387	3938	戴利说
3267	3839	4028	3956	：
4769	3862	4932	3932	Tinder
1121	3873	1160	4155	接受钢查的10名人
2853	3881	3266	3944	2019年大選
4429	3881	4777	3944	约會交友软件
1034	3895	1072	4155	但近50%的经理表
490	3911	577	4106	定的人物止。
582	3916	615	3998	效益
452	3927	495	4155	白模资的人少退
1824	3927	1862	4155	每個人都很尊重道
2506	3935	2875	3964	赣如何看待
4461	3946	4908	4002	成高工做宣傅工具
321	3965	414	4155	限发
5	3981	109	4155	生理
103	3981	196	4155	
191	3981	234	4095	它不是。
283	3981	321	4122	没有标策。
1704	3986	1736	4156	期望员工有时
1290	3987	1323	4155	并由公司付
1748	3985	1775	4156	出嘉道项排
240	3998	278	4155	“人们部局用
3348	4003	3397	4019	
0	4014	11	4149	N业社会
550	4019	582	4155	研究小组
1247	4030	1279	4155	酒精饮料
1078	4046	1116	4155	酒精合
4343	4061	4569	4099	第（金融时级）
4701	4068	4972	4082	
1165	4079	1198	4155	也可以
191	4100	234	4155	福
4293	4106	4575	4140	报道，工货统退
501	4122	539	4155	海
1372	4128	1404	4155	号
4464	4144	4573	4155	中航信
